iter	Passed	Remaining
0	49	49413
1	51	25563
2	52	17453
3	53	13363
4	54	10881
5	55	9224
6	56	8067
7	58	7217
8	59	6542
9	60	6003
10	61	5550
11	62	5170
12	63	4851
13	64	4577
14	66	4338
15	67	4129
16	68	3946
17	69	3793
18	70	3656
19	72	3532
20	73	3422
21	74	3315
22	75	3219
23	77	3131
24	78	3057
25	79	2982
26	80	2917
27	82	2857
28	83	2801
29	84	2738
30	85	2684
31	87	2636
32	88	2596
33	90	2568
34	91	2529
35	92	2490
36	94	2467
37	95	2428
38	97	2393
39	98	2363
40	99	2332
41	100	2301
42	102	2276
43	103	2253
44	105	2231
45	106	2207
46	107	2179
47	108	2156
48	109	2131
49	111	2113
50	112	2094
51	113	2075
52	115	2055
53	116	2041
54	117	2024
55	119	2006
56	120	1990
57	121	1971
58	122	1955
59	123	1937
60	124	1920
61	125	1905
62	127	1889
63	128	1876
64	129	1861
65	130	1846
66	131	1832
67	132	1820
68	134	1811
69	135	1798
70	136	1785
71	137	1773
72	138	1762
73	139	1749
74	141	1740
75	142	1730
76	143	1718
77	144	1708
78	145	1700
79	147	1694
80	148	1689
81	150	1682
82	150	1667
83	152	1658
84	153	1651
85	154	1644
86	155	1635
87	157	1627
88	158	1619
89	159	1612
90	161	1612
91	162	1602
92	163	1594
93	164	1584
94	165	1575
95	166	1569
96	167	1558
97	168	1551
98	169	1545
99	171	1541
100	172	1534
101	173	1529
102	174	1523
103	176	1518
104	177	1508
105	178	1503
106	179	1499
107	181	1495
108	182	1488
109	183	1481
110	184	1474
111	185	1467
112	186	1460
113	187	1453
114	187	1446
115	188	1439
116	189	1430
117	190	1424
118	191	1416
119	192	1409
120	193	1403
121	193	1395
122	194	1387
123	195	1381
124	196	1374
125	197	1366
126	197	1357
127	198	1351
128	199	1344
129	199	1337
130	200	1330
131	201	1322
132	201	1316
133	202	1309
134	203	1302
135	203	1295
136	204	1288
137	205	1282
138	206	1276
139	206	1270
140	207	1263
141	207	1256
142	208	1249
143	209	1243
144	209	1236
145	210	1229
146	210	1223
147	211	1216
148	211	1209
149	212	1203
150	212	1196
151	213	1190
152	213	1184
153	214	1177
154	214	1171
155	215	1166
156	216	1159
157	216	1153
158	217	1148
159	217	1142
160	217	1135
161	218	1129
162	218	1123
163	219	1117
164	219	1111
165	220	1105
166	220	1100
167	220	1094
168	221	1088
169	221	1083
170	222	1078
171	222	1072
172	223	1067
173	223	1062
174	224	1056
175	224	1051
176	225	1046
177	225	1041
178	226	1036
179	226	1031
180	226	1027
181	227	1022
182	228	1018
183	228	1013
184	229	1008
185	229	1004
186	230	1000
187	230	995
188	231	991
189	231	986
190	231	982
191	232	977
192	232	973
193	233	968
194	233	964
195	234	960
196	234	955
197	234	951
198	235	947
199	235	943
200	236	939
201	236	934
202	237	931
203	237	926
204	238	923
205	238	919
206	238	915
207	239	911
208	239	907
209	240	903
210	240	899
211	241	896
212	241	892
213	241	888
214	242	885
215	242	881
216	243	877
217	243	874
218	244	870
219	244	867
220	245	863
221	245	860
222	246	857
223	246	853
224	246	850
225	247	847
226	247	844
227	248	840
228	248	837
229	249	834
230	249	831
231	250	828
232	250	824
233	251	821
234	251	818
235	251	815
236	252	812
237	252	809
238	253	806
239	253	803
240	254	800
241	254	797
242	254	794
243	255	791
244	255	788
245	256	785
246	256	782
247	257	780
248	257	777
249	258	774
250	258	771
251	258	768
252	259	765
