iter	Passed	Remaining
0	49	49368
1	50	25150
2	51	17110
3	52	13015
4	52	10532
5	53	8881
6	54	7723
7	55	6840
8	55	6147
9	56	5584
10	57	5127
11	57	4746
12	58	4426
13	58	4148
14	59	3934
15	60	3749
16	62	3602
17	63	3459
18	64	3342
19	66	3257
20	67	3136
21	67	3022
22	68	2911
23	69	2806
24	69	2707
25	69	2616
26	70	2533
27	70	2456
28	71	2385
29	71	2317
30	72	2253
31	72	2194
32	73	2142
33	73	2089
34	74	2040
35	74	1992
36	74	1946
37	75	1903
38	75	1864
39	76	1825
40	76	1789
41	76	1753
42	77	1721
43	77	1689
44	78	1658
45	78	1629
46	78	1599
47	79	1574
48	79	1548
49	80	1522
50	80	1499
51	80	1474
52	81	1450
53	81	1427
54	81	1405
55	82	1383
56	82	1362
57	82	1341
58	82	1322
59	83	1303
60	83	1284
61	83	1267
62	84	1250
63	84	1233
64	84	1218
65	85	1203
66	85	1188
67	85	1177
68	86	1165
69	86	1151
70	86	1138
71	87	1125
72	87	1112
73	87	1099
74	88	1087
75	88	1075
76	88	1064
77	89	1053
78	89	1042
79	89	1032
80	90	1022
81	90	1012
82	90	1002
83	90	992
84	91	982
85	91	973
86	91	964
87	92	956
88	92	947
89	92	939
90	93	931
91	93	923
92	93	915
93	94	907
94	94	899
95	94	892
96	95	884
97	95	877
98	95	870
99	95	863
100	96	856
101	96	849
102	96	842
103	97	836
104	97	830
105	97	823
106	97	817
107	98	811
108	98	805
109	98	799
110	99	793
111	99	788
112	99	782
113	100	777
114	100	771
115	100	766
116	100	761
117	101	756
118	101	752
119	102	748
120	102	742
121	102	737
122	102	733
123	103	729
124	103	724
125	103	720
126	104	716
127	104	711
128	104	707
129	105	704
130	105	700
131	106	697
132	106	693
133	106	691
134	107	687
135	107	683
136	107	680
137	108	676
138	108	673
139	109	669
140	109	665
141	109	662
142	109	658
143	110	654
144	110	651
145	111	651
146	111	648
147	112	645
148	112	642
149	112	638
150	113	635
151	113	632
152	113	629
153	113	626
154	114	623
155	114	620
156	115	617
157	115	615
158	115	613
159	116	611
160	117	610
161	117	607
162	117	605
163	118	602
164	118	600
165	118	597
166	119	594
167	119	593
168	120	591
169	120	588
170	120	586
171	121	584
172	121	581
173	122	579
174	122	577
175	122	574
176	123	572
177	123	569
178	123	567
179	124	565
180	124	562
181	124	560
182	125	558
183	125	555
184	125	553
185	125	551
186	126	548
187	126	547
188	127	545
189	127	543
190	127	540
191	128	538
192	128	536
193	128	534
194	128	532
195	129	530
196	129	528
197	129	526
198	130	524
199	130	522
200	131	520
201	131	518
202	131	517
203	132	515
204	132	513
205	132	511
206	132	509
207	133	507
208	133	505
209	133	503
210	134	502
211	134	500
212	135	498
213	135	497
214	135	495
215	136	494
216	136	492
217	137	492
218	137	490
219	138	489
220	138	487
221	138	486
222	139	485
223	139	483
224	140	482
225	140	480
226	140	478
227	140	477
228	141	475
229	141	474
230	141	472
231	142	471
232	142	469
233	142	467
234	143	466
235	143	464
236	143	463
237	144	461
238	144	460
239	144	458
240	145	457
241	145	455
242	145	454
243	146	452
244	146	451
245	146	449
246	147	448
247	147	446
248	147	445
249	148	444
250	148	442
251	148	441
252	149	440
253	149	438
254	149	437
255	150	436
256	150	434
257	150	433
258	151	432
259	151	430
260	151	429
261	152	428
262	152	427
263	152	426
264	153	424
265	153	423
266	153	422
267	154	420
268	154	419
269	154	418
270	154	416
271	155	415
272	155	414
273	155	413
274	156	411
275	156	410
276	156	409
277	157	407
278	157	406
279	157	405
280	157	404
281	158	402
282	158	401
283	158	400
